2022-04-24 18:20:09.429[1650817209429] | INFO  | main       | c.b.BinanceBot.BinanceBotApplication - Starting BinanceBotApplication using Java 17.0.2 on keru-MS-7C02 with PID 6671 (/home/keru/IdeaProjects/BinanceBot/BinanceBot/build/classes/java/main started by keru in /home/keru/IdeaProjects/BinanceBot)
2022-04-24 18:20:09.430[1650817209430] | INFO  | main       | c.b.BinanceBot.BinanceBotApplication - No active profile set, falling back to default profiles: default
2022-04-24 18:20:09.667[1650817209667] | INFO  | main       | o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-04-24 18:20:09.700[1650817209700] | INFO  | main       | o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 26 ms. Found 2 JPA repository interfaces.
2022-04-24 18:20:09.955[1650817209955] | INFO  | main       | o.h.jpa.internal.util.LogHelper      - HHH000204: Processing PersistenceUnitInfo [name: default]
2022-04-24 18:20:09.987[1650817209987] | INFO  | main       | org.hibernate.Version                - HHH000412: Hibernate ORM core version 5.6.5.Final
2022-04-24 18:20:10.094[1650817210094] | INFO  | main       | o.h.annotations.common.Version       - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2022-04-24 18:20:10.160[1650817210160] | INFO  | main       | com.zaxxer.hikari.HikariDataSource   - HikariPool-1 - Starting...
2022-04-24 18:20:10.346[1650817210346] | INFO  | main       | com.zaxxer.hikari.HikariDataSource   - HikariPool-1 - Start completed.
2022-04-24 18:20:10.363[1650817210363] | INFO  | main       | org.hibernate.dialect.Dialect        - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQL10Dialect
2022-04-24 18:20:10.661[1650817210661] | INFO  | main       | o.h.e.t.j.p.i.JtaPlatformInitiator   - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2022-04-24 18:20:10.666[1650817210666] | INFO  | main       | o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2022-04-24 18:20:10.916[1650817210916] | INFO  | main       | c.b.BinanceBot.BinanceBotApplication - Started BinanceBotApplication in 1.705 seconds (JVM running for 1.976)
2022-04-24 18:20:10.918[1650817210918] | INFO  | scheduling-1 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/avgPrice?symbol=BTCBUSD
2022-04-24 18:20:11.601[1650817211601] | INFO  | scheduling-1 | c.b.B.service.GetAndSaveServiceImpl  - bean: {"mins":5,"price":"39689.25393280"}
2022-04-24 18:20:13.915[1650817213915] | INFO  | scheduling-1 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/avgPrice?symbol=BTCBUSD
2022-04-24 18:20:14.195[1650817214195] | INFO  | scheduling-1 | c.b.B.service.GetAndSaveServiceImpl  - bean: {"mins":5,"price":"39689.29360991"}
